,Sample,Event,<qLKSiki>,<Rc3kmmq>,<qLKSiki> + CoT,<Rc3kmmq> + CoT,<qLKSiki> MAD R1 S3,<qLKSiki> MAD R1 S5,<qLKSiki> MAD R1 S7,<qLKSiki> MAD R2 S3,<qLKSiki> MAD R2 S5,<qLKSiki> MAD R2 S7,<qLKSiki> MAD R3 S3,<qLKSiki> MAD R3 S5,<qLKSiki> MAD R3 S7,<Rc3kmmq> MAD R1 S3,<Rc3kmmq> MAD R1 S5,<Rc3kmmq> MAD R1 S7,<Rc3kmmq> MAD R2 S3,<Rc3kmmq> MAD R2 S5,<Rc3kmmq> MAD R2 S7,<Rc3kmmq> MAD R3 S3,<Rc3kmmq> MAD R3 S5,<Rc3kmmq> MAD R3 S7,Mixed-A MAD R3 S7,Mixed-B MAD R3 S7,<qLKSiki> MoA W3 L3,<qLKSiki> MoA W3 L4,<qLKSiki> MoA W3 L5,<qLKSiki> MoA W4 L3,<qLKSiki> MoA W4 L4,<qLKSiki> MoA W4 L5,<qLKSiki> MoA W5 L3,<qLKSiki> MoA W5 L4,<qLKSiki> MoA W5 L5,<Rc3kmmq> MoA W3 L3,<Rc3kmmq> MoA W3 L4,<Rc3kmmq> MoA W3 L5,<Rc3kmmq> MoA W4 L3,<Rc3kmmq> MoA W4 L4,<Rc3kmmq> MoA W4 L5,<Rc3kmmq> MoA W5 L3,<Rc3kmmq> MoA W5 L4,<Rc3kmmq> MoA W5 L5,Mixed MoA W5 L5,<qLKSiki> Reflection T1,<qLKSiki> Reflection T2,<qLKSiki> Reflection T3,<qLKSiki> Reflection T4,<qLKSiki> Reflection T5,<Rc3kmmq> Reflection T1,<Rc3kmmq> Reflection T2,<Rc3kmmq> Reflection T3,<Rc3kmmq> Reflection T4,<Rc3kmmq> Reflection T5,Mixed-A Reflection T5,Mixed-B Reflection T5
0,3,17,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,True,False,True,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,True,False,True,False,False,False,True,True,True,True
1,4,16,False,False,False,False,False,False,False,True,False,False,False,cannot decide,True,True,True,cannot decide,False,False,False,False,False,False,False,cannot decide,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
2,7,18,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,True,True,False
3,8,16,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,True,True,False,True,False,False,True,False,True,True,True,True,True,True
4,10,17,False,False,False,True,False,False,False,False,cannot decide,False,False,cannot decide,False,True,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,False
5,11,16,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,cannot decide,True,True,True,True,False,True,False,True,False,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,False,True
6,13,15,False,False,False,False,True,True,True,True,True,True,cannot decide,False,cannot decide,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,True,False,True,True,True,True,True,True,False,False
7,14,16,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,cannot decide,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,True,False,False
8,15,15,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
9,16,15,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,cannot decide,False,True,True,True,True,True,False,True,False,False,False,True,False,True,False,True,True,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,False,False,True
10,17,15,False,False,False,False,cannot decide,False,True,False,True,False,True,True,False,True,True,True,True,True,True,True,cannot decide,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
11,20,15,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True
12,21,14,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,cannot decide,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
