,dataset,question_type,config,madp,llm,mean_metric,std_metric,count,ci_lower,ci_upper,iters
20,FANToM,AnswerabilityQ_List,<Rc3kmmq> Reflection T1,Reflection,<Rc3kmmq>,0.3888888888888889,0.49022912424414206,90,0.2876065025020932,0.4901712752756846,1.0
21,FANToM,AnswerabilityQ_List,<Rc3kmmq> Reflection T2,Reflection,<Rc3kmmq>,0.5222222222222223,0.5023043031706679,90,0.41844507802271647,0.625999366421728,2.0
22,FANToM,AnswerabilityQ_List,<Rc3kmmq> Reflection T3,Reflection,<Rc3kmmq>,0.45555555555555555,0.5008108282005755,90,0.35208696648160076,0.5590241446295103,3.0
23,FANToM,AnswerabilityQ_List,<Rc3kmmq> Reflection T4,Reflection,<Rc3kmmq>,0.45555555555555555,0.5008108282005755,90,0.35208696648160076,0.5590241446295103,4.0
24,FANToM,AnswerabilityQ_List,<Rc3kmmq> Reflection T5,Reflection,<Rc3kmmq>,0.4,0.4926424963535759,90,0.2982190057696583,0.5017809942303417,5.0
45,FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T1,Reflection,<qLKSiki>,0.5333333333333333,0.5016825622427263,90,0.4296846421403545,0.6369820245263121,1.0
46,FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T2,Reflection,<qLKSiki>,0.4222222222222222,0.4966806171531967,90,0.3196069435912253,0.5248375008532191,2.0
47,FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T3,Reflection,<qLKSiki>,0.4666666666666667,0.5016825622427264,90,0.36301797547368786,0.5703153578596455,3.0
48,FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T4,Reflection,<qLKSiki>,0.45555555555555555,0.5008108282005754,90,0.35208696648160076,0.5590241446295103,4.0
49,FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T5,Reflection,<qLKSiki>,0.43333333333333335,0.49831175657571336,90,0.33038105780624877,0.536285608860418,5.0
52,FANToM,AnswerabilityQ_List,Mixed-A Reflection T5,Reflection,Mixed,0.4,0.49264249635357593,90,0.2982190057696583,0.5017809942303417,5.0
54,FANToM,AnswerabilityQ_List,Mixed-B Reflection T5,Reflection,Mixed,0.4777777777777778,0.502304303170668,90,0.374000633578272,0.5815549219772836,5.0
75,FANToM,AnswerabilityQs_Binary,<Rc3kmmq> Reflection T1,Reflection,<Rc3kmmq>,0.5132978723404256,0.5004891224613452,376,0.4627087911264766,0.5638869535543746,1.0
